Date,Prediksi_RF
2025-03-27,6392.093187328754
2025-04-08,6464.528436169333
2025-04-09,6039.90320541668
2025-04-10,5992.5640854441435
2025-04-11,6254.771460611982
2025-04-14,6279.106825665151
2025-04-15,6334.881932660676
2025-04-16,6388.975259783275
2025-04-17,6367.4296490537245
2025-04-21,6400.145204989733
2025-04-22,6402.355999484912
2025-04-23,6468.487003255855
2025-04-24,6554.515268184803
2025-04-25,6619.208913611469
2025-04-28,6666.310529277851
2025-04-29,6687.712694607874
2025-04-30,6768.645339374157
2025-05-02,6809.356157360949
2025-05-05,6814.816058977092
2025-05-06,6833.15269858522
2025-05-07,6883.509482682399
2025-05-08,6896.626550013053
2025-05-09,6848.140760022373
2025-05-14,6838.790199406357
2025-05-15,7002.452105105614
2025-05-16,7026.485645941705
2025-05-19,7107.908107111857
2025-05-20,7138.763864198509
2025-05-21,7116.251652429124
2025-05-22,7148.286907042681
2025-05-23,7155.127914968441
